CookerStat, GenerateAssetRegistry=0.022940, Initialize=0.118330, RunGuid=RunID24AEB1B044C4970ED70FF68561F17D58
DDCTransactionId9BE440A444D9DD5A17E6E1BB6F5C8424_13, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_D03B7DEE45B7AF6C8FF62F9628A23F01__1_0_13123_0, StartTime=2016.05.04-10.35.04, HierarchicalDDC=, DataSize=582, Duration=19.539665, RunGuid=RunID24AEB1B044C4970ED70FF68561F17D58
DDCTransactionId2AB3CFA44E9A1A32BFCB5ABD5FA494E5_8, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_43B80A3240E8444DD35F6F85F8D3319D__1_0_13123_0, StartTime=2016.05.04-10.35.04, HierarchicalDDC=, DataSize=568, Duration=4.368141, RunGuid=RunID24AEB1B044C4970ED70FF68561F17D58
DDCTransactionId2AB3CFA44E9A1A32BFCB5ABD5FA494E5_9, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_80EA5FC04AD687BCB38B8A8AE0646AB4__1_0_13123_0, StartTime=2016.05.04-10.35.04, HierarchicalDDC=, DataSize=473, Duration=4.584268, RunGuid=RunID24AEB1B044C4970ED70FF68561F17D58
DDCTransactionId30DBC9644F40305F24FAC28BD6B3CAEC_10, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_388C9B5A42A530C3A5BA378A5EF3C91C__1_0_13123_0, StartTime=2016.05.04-10.35.04, HierarchicalDDC=, DataSize=839, Duration=6.074224, RunGuid=RunID24AEB1B044C4970ED70FF68561F17D58
DDCTransactionId2AB3CFA44E9A1A32BFCB5ABD5FA494E5_10, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_C0C082A34C8D8FF07B32E49B261A6183__1_0_13123_0, StartTime=2016.05.04-10.35.04, HierarchicalDDC=, DataSize=511, Duration=4.841749, RunGuid=RunID24AEB1B044C4970ED70FF68561F17D58
DDCTransactionId9BE440A444D9DD5A17E6E1BB6F5C8424_14, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_68DD66354D561F1FFF9FA3A53949722F__1_0_13123_0, StartTime=2016.05.04-10.35.04, HierarchicalDDC=, DataSize=760, Duration=3.511176, RunGuid=RunID24AEB1B044C4970ED70FF68561F17D58
DDCTransactionId30DBC9644F40305F24FAC28BD6B3CAEC_11, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_C1525E184E7E8260BDDCC8B8ED117174__1_0_13123_0, StartTime=2016.05.04-10.35.04, HierarchicalDDC=, DataSize=843, Duration=3.201771, RunGuid=RunID24AEB1B044C4970ED70FF68561F17D58
DDCTransactionId9BE440A444D9DD5A17E6E1BB6F5C8424_15, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_5AA0439249EF1A5D02E6938A68DFCAD8__1_0_13123_0, StartTime=2016.05.04-10.35.04, HierarchicalDDC=, DataSize=670, Duration=3.990222, RunGuid=RunID24AEB1B044C4970ED70FF68561F17D58
DDCTransactionId2AB3CFA44E9A1A32BFCB5ABD5FA494E5_11, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_9C0B183A406A90E1E8CEA6B945DCF3A9__1_0_13123_0, StartTime=2016.05.04-10.35.04, HierarchicalDDC=, DataSize=423, Duration=4.581854, RunGuid=RunID24AEB1B044C4970ED70FF68561F17D58
DDCTransactionId30DBC9644F40305F24FAC28BD6B3CAEC_12, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_229CE69844A425FABCFC249806188AF2__1_0_13123_0, StartTime=2016.05.04-10.35.04, HierarchicalDDC=, DataSize=442, Duration=3.932562, RunGuid=RunID24AEB1B044C4970ED70FF68561F17D58
DDCTransactionId9BE440A444D9DD5A17E6E1BB6F5C8424_16, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_DFB3D2DF49F82D8FD723BE9BF22375D6__1_0_13123_0, StartTime=2016.05.04-10.35.04, HierarchicalDDC=, DataSize=385, Duration=3.300481, RunGuid=RunID24AEB1B044C4970ED70FF68561F17D58
DDCTransactionId2AB3CFA44E9A1A32BFCB5ABD5FA494E5_12, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_7B07547948AD6F59DD37468A489EFB16__1_0_13123_0, StartTime=2016.05.04-10.35.04, HierarchicalDDC=, DataSize=366, Duration=4.177671, RunGuid=RunID24AEB1B044C4970ED70FF68561F17D58
DDCTransactionId30DBC9644F40305F24FAC28BD6B3CAEC_13, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_806286E8498E9895EC697F9D4F6EA601__1_0_13123_0, StartTime=2016.05.04-10.35.04, HierarchicalDDC=, DataSize=404, Duration=4.775647, RunGuid=RunID24AEB1B044C4970ED70FF68561F17D58
